order,epoch,error_rate
1,1,0.233236
1,2,0.214286
1,3,0.227405
1,4,0.217201
1,5,0.220117
1,6,0.218659
1,7,0.166181
1,8,0.14723
1,9,0.255102
1,10,0.144315
1,11,0.262391
1,12,0.247813
1,13,0.255102
1,14,0.247813
1,15,0.225948
1,16,0.234694
1,17,0.240525
1,18,0.150146
1,19,0.223032
1,20,0.14723
1,21,0.174927
1,22,0.265306
1,23,0.272595
1,24,0.262391
1,25,0.262391
1,26,0.265306
1,27,0.278426
1,28,0.262391
1,29,0.260933
1,30,0.265306
1,31,0.260933
1,32,0.260933
1,33,0.265306
1,34,0.259475
1,35,0.258017
1,36,0.259475
1,37,0.259475
1,38,0.260933
1,39,0.258017
1,40,0.259475
1,41,0.258017
1,42,0.259475
1,43,0.259475
1,44,0.265306
1,45,0.272595
1,46,0.259475
1,47,0.259475
1,48,0.255102
1,49,0.259475
1,50,0.259475
2,1,0.126822
2,2,0.176385
2,3,0.0962099
2,4,0.0860058
2,5,0.0845481
2,6,0.0889213
2,7,0.188047
2,8,0.202624
2,9,0.189504
2,10,0.0874636
2,11,0.0962099
2,12,0.118076
2,13,0.198251
2,14,0.0947522
2,15,0.201166
2,16,0.183673
2,17,0.0830904
2,18,0.169096
2,19,0.185131
2,20,0.174927
2,21,0.174927
2,22,0.183673
2,23,0.174927
2,24,0.176385
2,25,0.172012
2,26,0.158892
2,27,0.161808
2,28,0.176385
2,29,0.180758
2,30,0.183673
2,31,0.167638
2,32,0.166181
2,33,0.169096
2,34,0.139942
2,35,0.161808
2,36,0.144315
2,37,0.134111
2,38,0.170554
2,39,0.0816327
2,40,0.166181
2,41,0.174927
2,42,0.137026
2,43,0.185131
2,44,0.137026
2,45,0.166181
2,46,0.12828
2,47,0.0801749
2,48,0.0830904
2,49,0.19242
2,50,0.198251
3,1,0.0612245
3,2,0.00291545
3,3,0.0145773
3,4,0.0670554
3,5,0.00145773
3,6,0.00145773
3,7,0.00145773
3,8,0.00145773
3,9,0.00145773
3,10,0.00145773
3,11,0.00145773
3,12,0.00145773
3,13,0.00145773
3,14,0.00145773
3,15,0.00145773
3,16,0.00145773
3,17,0.00145773
3,18,0.00145773
3,19,0.00145773
3,20,0.00145773
3,21,0.00145773
3,22,0.00145773
3,23,0.00145773
3,24,0.00145773
3,25,0.00145773
3,26,0.00145773
3,27,0.00145773
3,28,0.00145773
3,29,0.00145773
3,30,0.00145773
3,31,0.00145773
3,32,0.00145773
3,33,0.00145773
3,34,0.00145773
3,35,0.00145773
3,36,0.00145773
3,37,0.00145773
