order,epoch,error_rate
1,1,0.590909
1,2,0.727273
1,3,0.652406
1,4,0.727273
1,5,0.649733
1,6,0.727273
1,7,0.26738
1,8,0.727273
1,9,0.652406
1,10,0.727273
1,11,0.727273
1,12,0.727273
1,13,0.727273
1,14,0.727273
1,15,0.26738
1,16,0.652406
1,17,0.727273
1,18,0.727273
1,19,0.649733
1,20,0.727273
1,21,0.26738
1,22,0.727273
1,23,0.652406
1,24,0.727273
1,25,0.727273
1,26,0.727273
1,27,0.727273
1,28,0.727273
1,29,0.26738
1,30,0.652406
1,31,0.727273
1,32,0.727273
1,33,0.727273
1,34,0.727273
1,35,0.26738
1,36,0.727273
1,37,0.652406
1,38,0.727273
1,39,0.727273
1,40,0.727273
1,41,0.727273
1,42,0.727273
1,43,0.26738
1,44,0.652406
1,45,0.727273
1,46,0.727273
1,47,0.727273
1,48,0.727273
1,49,0.727273
1,50,0.727273
2,1,0.529412
2,2,0.494652
2,3,0.491979
2,4,0.510695
2,5,0.518717
2,6,0.508021
2,7,0.516043
2,8,0.524064
2,9,0.489305
2,10,0.508021
2,11,0.489305
2,12,0.508021
2,13,0.489305
2,14,0.508021
2,15,0.489305
2,16,0.508021
2,17,0.489305
2,18,0.508021
2,19,0.491979
2,20,0.508021
2,21,0.489305
2,22,0.508021
2,23,0.489305
2,24,0.508021
2,25,0.489305
2,26,0.508021
2,27,0.47861
2,28,0.529412
2,29,0.524064
2,30,0.534759
2,31,0.540107
2,32,0.481283
2,33,0.553476
2,34,0.508021
2,35,0.532086
2,36,0.508021
2,37,0.548128
2,38,0.532086
2,39,0.540107
2,40,0.553476
2,41,0.540107
2,42,0.473262
2,43,0.548128
2,44,0.251337
2,45,0.47861
2,46,0.473262
2,47,0.566845
2,48,0.537433
2,49,0.540107
2,50,0.529412
3,1,0.326203
3,2,0.382353
3,3,0.467914
3,4,0.57754
3,5,0.580214
3,6,0.542781
3,7,0.57754
3,8,0.57754
3,9,0.57754
3,10,0.590909
3,11,0.57754
3,12,0.57754
3,13,0.57754
3,14,0.55615
3,15,0.57754
3,16,0.545455
3,17,0.57754
3,18,0.532086
3,19,0.590909
3,20,0.590909
3,21,0.590909
3,22,0.590909
3,23,0.57754
3,24,0.57754
3,25,0.532086
3,26,0.590909
3,27,0.644385
3,28,0.590909
3,29,0.644385
3,30,0.644385
3,31,0.665775
3,32,0.649733
3,33,0.647059
3,34,0.679144
3,35,0.665775
3,36,0.665775
3,37,0.668449
3,38,0.262032
3,39,0.505348
3,40,0.652406
3,41,0.606952
3,42,0.652406
3,43,0.65508
3,44,0.609626
3,45,0.65508
3,46,0.65508
3,47,0.665775
3,48,0.665775
3,49,0.55615
3,50,0.585561
4,1,0.68984
4,2,0.687166
4,3,0.68984
4,4,0.687166
4,5,0.687166
4,6,0.687166
4,7,0.684492
4,8,0.681818
4,9,0.676471
4,10,0.673797
4,11,0.665775
4,12,0.652406
4,13,0.652406
4,14,0.652406
4,15,0.652406
4,16,0.652406
4,17,0.649733
4,18,0.649733
4,19,0.647059
4,20,0.647059
4,21,0.644385
4,22,0.644385
4,23,0.641711
4,24,0.641711
4,25,0.641711
4,26,0.641711
4,27,0.639037
4,28,0.639037
4,29,0.636364
4,30,0.636364
4,31,0.636364
4,32,0.63369
4,33,0.631016
4,34,0.628342
4,35,0.625668
4,36,0.625668
