order,epoch,error_rate
1,1,0.12
1,2,0.12
1,3,0.12
1,4,0.12
1,5,0.12
1,6,0.12
1,7,0.12
1,8,0.12
1,9,0.12
1,10,0.12
1,11,0.12
1,12,0.12
1,13,0.12
1,14,0.12
1,15,0.12
1,16,0.12
1,17,0.12
1,18,0.12
1,19,0.12
1,20,0.12
1,21,0.12
1,22,0.12
1,23,0.12
1,24,0.12
1,25,0.12
1,26,0.12
1,27,0.12
1,28,0.12
1,29,0.12
1,30,0.12
1,31,0.12
1,32,0.12
1,33,0.12
1,34,0.12
1,35,0.12
1,36,0.12
1,37,0.12
1,38,0.12
1,39,0.12
1,40,0.12
1,41,0.12
1,42,0.12
1,43,0.12
1,44,0.12
1,45,0.12
1,46,0.12
1,47,0.12
1,48,0.12
1,49,0.12
1,50,0.12
2,1,0.12
2,2,0.12
2,3,0.12
2,4,0.12
2,5,0.12
2,6,0.12
2,7,0.12
2,8,0.12
2,9,0.12
2,10,0.12
2,11,0.12
2,12,0.12
2,13,0.12
2,14,0.12
2,15,0.12
2,16,0.12
2,17,0.12
2,18,0.12
2,19,0.12
2,20,0.12
2,21,0.12
2,22,0.12
2,23,0.12
2,24,0.12
2,25,0.12
2,26,0.12
2,27,0.12
2,28,0.12
2,29,0.12
2,30,0.12
2,31,0.12
2,32,0.12
2,33,0.12
2,34,0.12
2,35,0.12
2,36,0.12
2,37,0.12
2,38,0.12
2,39,0.12
2,40,0.12
2,41,0.12
2,42,0.12
2,43,0.12
2,44,0.12
2,45,0.12
2,46,0.12
2,47,0.12
2,48,0.12
2,49,0.12
2,50,0.12
3,1,0.12
3,2,0.12
3,3,0.12
3,4,0.12
3,5,0.12
3,6,0.12
3,7,0.12
3,8,0.12
3,9,0.12
3,10,0.12
3,11,0.12
3,12,0.12
3,13,0.12
3,14,0.12
3,15,0.12
3,16,0.12
3,17,0.12
3,18,0.12
3,19,0.12
3,20,0.12
3,21,0.12
3,22,0.12
3,23,0.12
3,24,0.12
3,25,0.12
3,26,0.12
3,27,0.12
3,28,0.12
3,29,0.12
3,30,0.12
3,31,0.12
3,32,0.12
3,33,0.12
3,34,0.12
3,35,0.12
3,36,0.12
3,37,0.12
3,38,0.12
3,39,0.12
3,40,0.12
3,41,0.12
3,42,0.12
3,43,0.12
3,44,0.12
3,45,0.12
3,46,0.12
3,47,0.12
3,48,0.12
3,49,0.12
3,50,0.12
4,1,0.12
4,2,0.12
4,3,0.12
4,4,0.12
4,5,0.12
4,6,0.12
4,7,0.12
4,8,0.14
4,9,0.14
4,10,0.14
4,11,0.12
4,12,0.12
4,13,0.12
4,14,0.12
4,15,0.12
4,16,0.12
4,17,0.12
4,18,0.12
4,19,0.12
4,20,0.14
4,21,0.14
4,22,0.14
4,23,0.14
4,24,0.14
4,25,0.14
4,26,0.12
4,27,0.12
4,28,0.12
4,29,0.12
4,30,0.12
4,31,0.14
4,32,0.14
4,33,0.14
4,34,0.14
4,35,0.14
4,36,0.14
4,37,0.14
4,38,0.14
4,39,0.14
4,40,0.12
4,41,0.12
4,42,0.12
4,43,0.12
4,44,0.14
4,45,0.14
4,46,0.14
4,47,0.14
4,48,0.12
4,49,0.14
4,50,0.14
5,1,0.12
5,2,0.12
5,3,0.12
5,4,0.12
5,5,0.12
5,6,0.12
5,7,0.12
5,8,0.14
5,9,0.14
5,10,0.14
5,11,0.14
5,12,0.14
5,13,0.14
5,14,0.14
5,15,0.12
5,16,0.12
5,17,0.12
5,18,0.12
5,19,0.12
5,20,0.12
5,21,0.12
5,22,0.12
5,23,0.12
5,24,0.12
5,25,0.12
5,26,0.12
5,27,0.12
5,28,0.12
5,29,0.12
5,30,0.12
5,31,0.12
5,32,0.12
5,33,0.12
5,34,0.12
5,35,0.12
5,36,0.12
5,37,0.12
5,38,0.12
5,39,0.12
5,40,0.12
5,41,0.12
5,42,0.12
5,43,0.12
5,44,0.12
5,45,0.12
5,46,0.12
5,47,0.12
5,48,0.12
5,49,0.12
5,50,0.16
