order,epoch,error_rate
1,1,0.08
1,2,0.0933333
1,3,0.0933333
1,4,0.12
1,5,0.12
1,6,0.12
1,7,0.12
1,8,0.12
1,9,0.12
1,10,0.12
1,11,0.12
1,12,0.12
1,13,0.12
1,14,0.12
1,15,0.12
1,16,0.12
1,17,0.12
1,18,0.12
1,19,0.12
1,20,0.12
1,21,0.12
1,22,0.12
1,23,0.12
1,24,0.12
1,25,0.12
1,26,0.12
1,27,0.12
1,28,0.12
1,29,0.12
1,30,0.12
1,31,0.12
1,32,0.12
1,33,0.12
1,34,0.12
1,35,0.12
1,36,0.12
1,37,0.12
1,38,0.12
1,39,0.12
1,40,0.12
1,41,0.12
1,42,0.12
1,43,0.12
1,44,0.12
1,45,0.12
1,46,0.12
1,47,0.12
1,48,0.12
1,49,0.12
1,50,0.12
2,1,0.133333
2,2,0.106667
2,3,0.0666667
2,4,0.0533333
2,5,0.0133333
2,6,0.0266667
2,7,0
2,8,0
2,9,0
2,10,0.04
2,11,0
2,12,0
2,13,0.0133333
2,14,0.04
2,15,0.0133333
2,16,0
2,17,0.04
2,18,0.0133333
2,19,0
2,20,0.0266667
2,21,0.0133333
2,22,0
2,23,0.0266667
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0.0133333
2,31,0.0266667
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0.0133333
2,39,0.0266667
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0.0133333
2,46,0.0133333
2,47,0.0266667
2,48,0
2,49,0
2,50,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,0
3,30,0
3,31,0
3,32,0
3,33,0
3,34,0
3,35,0
3,36,0
3,37,0
3,38,0
3,39,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
4,1,0.146667
4,2,0.133333
4,3,0.186667
4,4,0.173333
4,5,0.146667
4,6,0.133333
4,7,0.133333
4,8,0.133333
4,9,0.133333
4,10,0.133333
4,11,0.133333
4,12,0.12
4,13,0.12
4,14,0.106667
4,15,0.0933333
4,16,0.08
4,17,0.0666667
4,18,0.0666667
4,19,0.0666667
4,20,0.0666667
4,21,0.0533333
4,22,0.0533333
4,23,0.0533333
4,24,0.0533333
4,25,0.0533333
4,26,0.0533333
4,27,0.0533333
4,28,0.0533333
4,29,0.0533333
4,30,0.0533333
4,31,0.0533333
4,32,0.0533333
4,33,0.0533333
4,34,0.0533333
4,35,0.0533333
4,36,0.0533333
4,37,0.0533333
4,38,0.0533333
4,39,0.0533333
4,40,0.0533333
4,41,0.0533333
4,42,0.0533333
4,43,0.0533333
4,44,0.0533333
4,45,0.0533333
4,46,0.0533333
4,47,0.0533333
4,48,0.0533333
4,49,0.0533333
4,50,0.0533333
5,1,0.24
5,2,0.386667
5,3,0.386667
5,4,0.346667
5,5,0.32
5,6,0.32
5,7,0.306667
5,8,0.306667
5,9,0.293333
5,10,0.293333
5,11,0.28
5,12,0.253333
5,13,0.24
5,14,0.226667
5,15,0.226667
5,16,0.226667
5,17,0.226667
5,18,0.226667
5,19,0.213333
5,20,0.213333
5,21,0.213333
5,22,0.213333
5,23,0.213333
5,24,0.213333
5,25,0.213333
5,26,0.213333
5,27,0.213333
5,28,0.213333
5,29,0.213333
5,30,0.2
5,31,0.186667
5,32,0.186667
5,33,0.186667
5,34,0.186667
5,35,0.186667
5,36,0.186667
5,37,0.186667
5,38,0.186667
5,39,0.186667
5,40,0.186667
5,41,0.186667
5,42,0.186667
5,43,0.186667
5,44,0.173333
5,45,0.173333
5,46,0.173333
5,47,0.173333
5,48,0.173333
5,49,0.173333
5,50,0.173333
6,1,0.64
6,2,0.64
6,3,0.64
6,4,0.64
6,5,0.64
6,6,0.64
6,7,0.64
6,8,0.64
6,9,0.64
6,10,0.64
6,11,0.64
6,12,0.64
6,13,0.64
6,14,0.64
6,15,0.64
6,16,0.64
6,17,0.64
6,18,0.64
6,19,0.64
6,20,0.64
6,21,0.64
6,22,0.64
6,23,0.64
6,24,0.64
6,25,0.64
6,26,0.64
6,27,0.64
6,28,0.64
6,29,0.64
6,30,0.64
6,31,0.64
6,32,0.64
6,33,0.64
6,34,0.64
6,35,0.64
6,36,0.64
6,37,0.64
6,38,0.64
6,39,0.64
6,40,0.64
6,41,0.64
6,42,0.64
6,43,0.64
6,44,0.64
6,45,0.64
6,46,0.64
6,47,0.64
6,48,0.64
6,49,0.64
6,50,0.64
7,1,0.64
7,2,0.64
7,3,0.64
7,4,0.64
7,5,0.64
7,6,0.64
7,7,0.64
7,8,0.64
7,9,0.64
7,10,0.64
7,11,0.64
7,12,0.64
7,13,0.64
7,14,0.64
7,15,0.64
7,16,0.64
7,17,0.64
7,18,0.64
7,19,0.64
7,20,0.64
7,21,0.64
7,22,0.64
7,23,0.64
7,24,0.64
7,25,0.64
7,26,0.64
7,27,0.64
7,28,0.64
7,29,0.64
7,30,0.64
7,31,0.64
7,32,0.64
7,33,0.64
7,34,0.64
7,35,0.64
7,36,0.64
7,37,0.64
7,38,0.64
7,39,0.64
7,40,0.64
7,41,0.64
7,42,0.64
7,43,0.64
7,44,0.64
7,45,0.64
7,46,0.64
7,47,0.64
7,48,0.64
7,49,0.64
7,50,0.64
8,1,0.64
8,2,0.64
8,3,0.64
8,4,0.64
8,5,0.64
8,6,0.64
8,7,0.64
8,8,0.64
8,9,0.64
8,10,0.64
8,11,0.64
8,12,0.64
8,13,0.64
8,14,0.64
8,15,0.64
8,16,0.64
8,17,0.64
8,18,0.64
8,19,0.64
8,20,0.64
8,21,0.64
8,22,0.64
8,23,0.64
8,24,0.64
8,25,0.64
8,26,0.64
8,27,0.64
8,28,0.64
8,29,0.64
8,30,0.64
8,31,0.64
8,32,0.64
8,33,0.64
8,34,0.64
8,35,0.64
8,36,0.64
8,37,0.64
8,38,0.64
8,39,0.64
8,40,0.64
8,41,0.64
8,42,0.64
8,43,0.64
8,44,0.64
8,45,0.64
8,46,0.64
8,47,0.64
8,48,0.64
8,49,0.64
8,50,0.64
