order=1
epoch#,correct,incorrect,error_rate
0,54,21,0.28
1,52,23,0.306667
2,54,21,0.28
3,53,22,0.293333
4,55,20,0.266667
5,54,21,0.28
6,52,23,0.306667
7,54,21,0.28
8,54,21,0.28
9,53,22,0.293333
10,53,22,0.293333
11,53,22,0.293333
12,54,21,0.28
13,53,22,0.293333
14,50,25,0.333333
15,49,26,0.346667
16,51,24,0.32
17,49,26,0.346667
18,52,23,0.306667
19,56,19,0.253333
20,57,18,0.24
21,53,22,0.293333
22,57,18,0.24
23,53,22,0.293333
24,57,18,0.24
25,56,19,0.253333
26,53,22,0.293333
27,57,18,0.24
28,56,19,0.253333
29,54,21,0.28
order=2
epoch#,correct,incorrect,error_rate
0,43,32,0.426667
1,59,16,0.213333
2,65,10,0.133333
3,67,8,0.106667
4,64,11,0.146667
5,66,9,0.12
6,70,5,0.0666667
7,71,4,0.0533333
8,67,8,0.106667
9,64,11,0.146667
10,66,9,0.12
11,72,3,0.04
12,70,5,0.0666667
13,69,6,0.08
14,71,4,0.0533333
15,60,15,0.2
16,63,12,0.16
17,68,7,0.0933333
18,68,7,0.0933333
19,69,6,0.08
20,69,6,0.08
21,67,8,0.106667
22,66,9,0.12
23,73,2,0.0266667
24,72,3,0.04
25,71,4,0.0533333
26,73,2,0.0266667
27,74,1,0.0133333
28,73,2,0.0266667
29,73,2,0.0266667
order=3
epoch#,correct,incorrect,error_rate
0,21,54,0.72
1,58,17,0.226667
2,36,39,0.52
3,40,35,0.466667
4,42,33,0.44
5,42,33,0.44
6,41,34,0.453333
7,41,34,0.453333
8,65,10,0.133333
9,60,15,0.2
10,61,14,0.186667
11,64,11,0.146667
12,66,9,0.12
13,66,9,0.12
14,69,6,0.08
15,71,4,0.0533333
16,72,3,0.04
17,71,4,0.0533333
18,70,5,0.0666667
19,71,4,0.0533333
20,70,5,0.0666667
21,68,7,0.0933333
22,71,4,0.0533333
23,68,7,0.0933333
24,71,4,0.0533333
25,70,5,0.0666667
26,68,7,0.0933333
27,70,5,0.0666667
28,68,7,0.0933333
29,71,4,0.0533333
order=4
epoch#,correct,incorrect,error_rate
0,28,47,0.626667
1,28,47,0.626667
2,28,47,0.626667
3,28,47,0.626667
4,28,47,0.626667
5,28,47,0.626667
6,28,47,0.626667
7,28,47,0.626667
8,28,47,0.626667
9,28,47,0.626667
10,28,47,0.626667
11,28,47,0.626667
12,28,47,0.626667
13,28,47,0.626667
14,28,47,0.626667
15,28,47,0.626667
16,28,47,0.626667
17,28,47,0.626667
18,28,47,0.626667
19,28,47,0.626667
20,28,47,0.626667
21,28,47,0.626667
22,28,47,0.626667
23,28,47,0.626667
24,28,47,0.626667
25,28,47,0.626667
26,28,47,0.626667
27,28,47,0.626667
28,28,47,0.626667
29,28,47,0.626667
order=5
epoch#,correct,incorrect,error_rate
0,28,47,0.626667
1,28,47,0.626667
2,28,47,0.626667
3,28,47,0.626667
4,28,47,0.626667
5,28,47,0.626667
6,28,47,0.626667
7,28,47,0.626667
8,28,47,0.626667
9,28,47,0.626667
10,28,47,0.626667
11,28,47,0.626667
12,28,47,0.626667
13,28,47,0.626667
14,28,47,0.626667
15,28,47,0.626667
16,28,47,0.626667
17,28,47,0.626667
18,28,47,0.626667
19,28,47,0.626667
20,28,47,0.626667
21,28,47,0.626667
22,28,47,0.626667
23,28,47,0.626667
24,28,47,0.626667
25,28,47,0.626667
26,28,47,0.626667
27,28,47,0.626667
28,28,47,0.626667
29,28,47,0.626667
