order=1
epoch#,correct,incorrect,error_rate
0,29,46,0.613333
1,28,47,0.626667
2,13,62,0.826667
3,11,64,0.853333
4,10,65,0.866667
5,11,64,0.853333
6,10,65,0.866667
7,11,64,0.853333
8,10,65,0.866667
9,11,64,0.853333
10,10,65,0.866667
11,11,64,0.853333
12,10,65,0.866667
13,11,64,0.853333
14,10,65,0.866667
15,11,64,0.853333
16,10,65,0.866667
17,11,64,0.853333
18,10,65,0.866667
19,11,64,0.853333
20,10,65,0.866667
21,11,64,0.853333
22,10,65,0.866667
23,11,64,0.853333
24,10,65,0.866667
25,11,64,0.853333
26,10,65,0.866667
27,11,64,0.853333
28,10,65,0.866667
29,11,64,0.853333
order=2
epoch#,correct,incorrect,error_rate
0,37,38,0.506667
1,46,29,0.386667
2,48,27,0.36
3,46,29,0.386667
4,52,23,0.306667
5,49,26,0.346667
6,48,27,0.36
7,47,28,0.373333
8,47,28,0.373333
9,48,27,0.36
10,52,23,0.306667
11,52,23,0.306667
12,51,24,0.32
13,51,24,0.32
14,49,26,0.346667
15,51,24,0.32
16,48,27,0.36
17,49,26,0.346667
18,51,24,0.32
19,49,26,0.346667
20,50,25,0.333333
21,51,24,0.32
22,52,23,0.306667
23,53,22,0.293333
24,51,24,0.32
25,52,23,0.306667
26,55,20,0.266667
27,51,24,0.32
28,52,23,0.306667
29,52,23,0.306667
order=3
epoch#,correct,incorrect,error_rate
0,42,33,0.44
1,50,25,0.333333
2,55,20,0.266667
3,48,27,0.36
4,45,30,0.4
5,70,5,0.0666667
6,65,10,0.133333
7,65,10,0.133333
8,69,6,0.08
9,54,21,0.28
10,52,23,0.306667
11,70,5,0.0666667
12,67,8,0.106667
13,67,8,0.106667
14,70,5,0.0666667
15,60,15,0.2
16,69,6,0.08
17,64,11,0.146667
18,69,6,0.08
19,65,10,0.133333
20,66,9,0.12
21,67,8,0.106667
22,67,8,0.106667
23,68,7,0.0933333
24,73,2,0.0266667
25,72,3,0.04
26,71,4,0.0533333
27,72,3,0.04
28,69,6,0.08
29,69,6,0.08
order=4
epoch#,correct,incorrect,error_rate
0,47,28,0.373333
1,71,4,0.0533333
2,71,4,0.0533333
3,71,4,0.0533333
4,72,3,0.04
5,71,4,0.0533333
6,72,3,0.04
7,72,3,0.04
8,72,3,0.04
9,70,5,0.0666667
10,71,4,0.0533333
11,70,5,0.0666667
12,70,5,0.0666667
13,70,5,0.0666667
14,72,3,0.04
15,71,4,0.0533333
16,69,6,0.08
17,70,5,0.0666667
18,70,5,0.0666667
19,70,5,0.0666667
20,71,4,0.0533333
21,71,4,0.0533333
22,70,5,0.0666667
23,69,6,0.08
24,71,4,0.0533333
25,71,4,0.0533333
26,69,6,0.08
27,70,5,0.0666667
28,70,5,0.0666667
29,70,5,0.0666667
order=5
epoch#,correct,incorrect,error_rate
0,49,26,0.346667
1,63,12,0.16
2,67,8,0.106667
3,63,12,0.16
4,67,8,0.106667
5,65,10,0.133333
6,60,15,0.2
7,66,9,0.12
8,63,12,0.16
9,69,6,0.08
10,70,5,0.0666667
11,67,8,0.106667
12,69,6,0.08
13,69,6,0.08
14,69,6,0.08
15,71,4,0.0533333
16,70,5,0.0666667
17,70,5,0.0666667
18,70,5,0.0666667
19,66,9,0.12
20,70,5,0.0666667
21,70,5,0.0666667
22,70,5,0.0666667
23,70,5,0.0666667
24,70,5,0.0666667
25,70,5,0.0666667
26,70,5,0.0666667
27,71,4,0.0533333
28,71,4,0.0533333
29,70,5,0.0666667
