order=1
epoch#,correct,incorrect,error_rate
0,25443,97086,0.792351
1,25443,97086,0.792351
2,25443,97086,0.792351
3,25443,97086,0.792351
4,25443,97086,0.792351
5,25443,97086,0.792351
6,25443,97086,0.792351
7,25443,97086,0.792351
8,25443,97086,0.792351
9,25443,97086,0.792351
10,25443,97086,0.792351
11,25443,97086,0.792351
12,25443,97086,0.792351
13,25443,97086,0.792351
14,25443,97086,0.792351
15,25443,97086,0.792351
16,25443,97086,0.792351
17,25443,97086,0.792351
18,25443,97086,0.792351
19,25443,97086,0.792351
20,25443,97086,0.792351
21,25443,97086,0.792351
22,25443,97086,0.792351
23,25443,97086,0.792351
24,25443,97086,0.792351
25,25443,97086,0.792351
26,25443,97086,0.792351
27,25443,97086,0.792351
28,25443,97086,0.792351
29,25443,97086,0.792351
30,25443,97086,0.792351
31,25443,97086,0.792351
32,25443,97086,0.792351
33,25443,97086,0.792351
34,25443,97086,0.792351
35,25443,97086,0.792351
36,25443,97086,0.792351
37,25443,97086,0.792351
38,25443,97086,0.792351
39,25443,97086,0.792351
40,25443,97086,0.792351
41,25443,97086,0.792351
42,25443,97086,0.792351
43,25443,97086,0.792351
44,25443,97086,0.792351
45,25443,97086,0.792351
46,25443,97086,0.792351
47,25443,97086,0.792351
48,25443,97086,0.792351
49,25443,97086,0.792351
order=2
epoch#,correct,incorrect,error_rate
0,101965,20564,0.16783
1,112534,9995,0.0815725
2,110707,11822,0.0964833
3,109389,13140,0.10724
4,110697,11832,0.0965649
5,112315,10214,0.0833599
6,112943,9586,0.0782345
7,113428,9101,0.0742763
8,111667,10862,0.0886484
9,116343,6186,0.050486
10,116165,6364,0.0519387
11,116230,6299,0.0514082
12,116269,6260,0.0510899
13,116415,6114,0.0498984
14,112574,9955,0.0812461
15,116454,6075,0.0495801
16,116416,6113,0.0498902
17,110015,12514,0.102131
18,116232,6297,0.0513919
19,116400,6129,0.0500208
20,116564,5965,0.0486824
21,116581,5948,0.0485436
22,109219,13310,0.108627
23,116579,5950,0.0485599
24,111102,11427,0.0932596
25,116556,5973,0.0487476
26,111558,10971,0.089538
27,110724,11805,0.0963445
28,111416,11113,0.0906969
29,115451,7078,0.0577659
30,112339,10190,0.083164
31,109713,12816,0.104596
32,111867,10662,0.0870161
33,116419,6110,0.0498657
34,112420,10109,0.0825029
35,112253,10276,0.0838659
36,113045,9484,0.0774021
37,112363,10166,0.0829681
38,115292,7237,0.0590636
39,113121,9408,0.0767818
40,116543,5986,0.0488537
41,111776,10753,0.0877588
42,112965,9564,0.078055
43,116357,6172,0.0503717
44,116403,6126,0.0499963
45,112959,9570,0.078104
46,112872,9657,0.078814
47,112889,9640,0.0786753
48,116445,6084,0.0496536
49,116684,5845,0.047703
order=3
epoch#,correct,incorrect,error_rate
0,121221,1308,0.010675
1,121943,586,0.00478254
2,121669,860,0.00701875
3,121701,828,0.00675758
4,122213,316,0.00257898
5,121622,907,0.00740233
6,121720,809,0.00660252
7,121927,602,0.00491312
8,122224,305,0.00248921
9,122249,280,0.00228517
10,122239,290,0.00236679
11,122157,372,0.00303602
12,121583,946,0.00772062
13,122244,285,0.00232598
14,121662,867,0.00707588
15,122234,295,0.00240759
16,122260,269,0.0021954
17,121959,570,0.00465196
18,121699,830,0.00677391
19,122246,283,0.00230966
20,122242,287,0.0023423
21,122271,258,0.00210562
22,122221,308,0.00251369
23,122274,255,0.00208114
24,122248,281,0.00229333
25,122189,340,0.00277485
26,121410,1119,0.00913253
27,121341,1188,0.00969566
28,122239,290,0.00236679
29,122222,307,0.00250553
30,122133,396,0.00323189
31,122231,298,0.00243208
32,122235,294,0.00239943
33,121401,1128,0.00920598
34,122229,300,0.0024484
35,121426,1103,0.00900195
36,122283,246,0.00200769
37,122274,255,0.00208114
38,122253,276,0.00225253
39,122274,255,0.00208114
40,122273,256,0.0020893
41,122243,286,0.00233414
42,122243,286,0.00233414
43,122119,410,0.00334615
44,122239,290,0.00236679
45,122252,277,0.00226069
46,122281,248,0.00202401
47,122226,303,0.00247288
48,122181,348,0.00284014
49,122301,228,0.00186078
order=4
epoch#,correct,incorrect,error_rate
0,119130,3399,0.0277404
1,111461,11068,0.0903296
2,121312,1217,0.00993234
3,121873,656,0.00535383
4,120306,2223,0.0181426
5,117529,5000,0.0408067
6,121824,705,0.00575374
7,121893,636,0.00519061
8,121906,623,0.00508451
9,122095,434,0.00354202
10,122050,479,0.00390928
11,122115,414,0.00337879
12,122089,440,0.00359099
13,121255,1274,0.0103975
14,122198,331,0.0027014
15,122081,448,0.00365628
16,122203,326,0.00266059
17,118876,3653,0.0298134
18,122176,353,0.00288095
19,122072,457,0.00372973
20,122146,383,0.00312579
21,122224,305,0.00248921
22,122214,315,0.00257082
23,122243,286,0.00233414
24,122191,338,0.00275853
25,122227,302,0.00246472
26,122092,437,0.0035665
27,122156,373,0.00304418
28,122114,415,0.00338695
29,122167,362,0.0029544
30,122242,287,0.0023423
31,119317,3212,0.0262142
32,122138,391,0.00319108
33,122219,310,0.00253001
34,122226,303,0.00247288
35,122185,344,0.0028075
36,122181,348,0.00284014
37,122112,417,0.00340328
38,122242,287,0.0023423
39,122278,251,0.00204849
40,122278,251,0.00204849
41,122271,258,0.00210562
42,122273,256,0.0020893
43,122242,287,0.0023423
44,122232,297,0.00242392
45,122168,361,0.00294624
46,122246,283,0.00230966
47,122258,271,0.00221172
48,122169,360,0.00293808
49,122126,403,0.00328902
order=5
epoch#,correct,incorrect,error_rate
0,113676,8853,0.0722523
1,121099,1430,0.0116707
2,119516,3013,0.0245901
3,121312,1217,0.00993234
4,121680,849,0.00692897
5,121843,686,0.00559867
6,117636,4893,0.0399334
7,121110,1419,0.0115809
8,120909,1620,0.0132214
9,121860,669,0.00545993
10,122040,489,0.00399089
11,122082,447,0.00364812
12,122128,401,0.00327269
13,120875,1654,0.0134988
14,122056,473,0.00386031
15,122040,489,0.00399089
16,122098,431,0.00351753
17,118953,3576,0.0291849
18,119434,3095,0.0252593
19,119322,3207,0.0261734
20,119090,3439,0.0280668
21,119023,3506,0.0286136
22,122106,423,0.00345224
23,119173,3356,0.0273894
24,122117,412,0.00336247
25,119168,3361,0.0274302
26,119041,3488,0.0284667
27,119147,3382,0.0276016
28,119250,3279,0.026761
29,122190,339,0.00276669
30,122205,324,0.00264427
31,122201,328,0.00267692
32,122203,326,0.00266059
33,119411,3118,0.025447
34,122170,359,0.00292992
35,122126,403,0.00328902
36,122098,431,0.00351753
37,122223,306,0.00249737
38,122209,320,0.00261163
39,119875,2654,0.0216602
40,122134,395,0.00322373
41,122222,307,0.00250553
42,122190,339,0.00276669
43,122133,396,0.00323189
44,122201,328,0.00267692
45,122216,313,0.0025545
46,119609,2920,0.0238311
47,122205,324,0.00264427
48,122178,351,0.00286463
49,122215,314,0.00256266
order=6
epoch#,correct,incorrect,error_rate
0,115299,7230,0.0590064
1,114912,7617,0.0621649
2,117198,5331,0.0435081
3,118995,3534,0.0288422
4,118343,4186,0.0341633
5,119243,3286,0.0268181
6,120095,2434,0.0198647
7,115377,7152,0.0583699
8,115851,6678,0.0545014
9,116191,6338,0.0517265
10,120670,1859,0.0151719
11,117940,4589,0.0374524
12,118185,4344,0.0354528
13,119932,2597,0.021195
14,120911,1618,0.013205
15,117363,5166,0.0421614
16,119539,2990,0.0244024
17,121257,1272,0.0103812
18,118177,4352,0.0355181
19,121122,1407,0.011483
20,120397,2132,0.0174
21,117927,4602,0.0375585
22,121270,1259,0.0102751
23,119931,2598,0.0212031
24,121262,1267,0.0103404
25,121064,1465,0.0119564
26,121193,1336,0.0109035
27,121209,1320,0.010773
28,121392,1137,0.00927944
29,121279,1250,0.0102017
30,121488,1041,0.00849595
31,119848,2681,0.0218805
32,121398,1131,0.00923047
33,121304,1225,0.00999763
34,121133,1396,0.0113932
35,120308,2221,0.0181263
36,115499,7030,0.0573742
37,121177,1352,0.0110341
38,119983,2546,0.0207788
39,120228,2301,0.0187792
40,116017,6512,0.0531466
41,121581,948,0.00773694
42,121430,1099,0.00896931
43,121588,941,0.00767981
44,121349,1180,0.00963037
45,121665,864,0.00705139
46,121550,979,0.00798995
47,116060,6469,0.0527957
48,121256,1273,0.0103894
49,121467,1062,0.00866734
order=7
epoch#,correct,incorrect,error_rate
0,89471,33058,0.269797
1,110668,11861,0.0968016
2,112458,10071,0.0821928
3,115327,7202,0.0587779
4,119962,2567,0.0209501
5,115369,7160,0.0584351
6,116467,6062,0.049474
7,116650,5879,0.0479805
8,117069,5460,0.0445609
9,117928,4601,0.0375503
10,115537,6992,0.057064
11,119762,2767,0.0225824
12,119477,3052,0.0249084
13,119668,2861,0.0233496
14,115891,6638,0.0541749
15,120905,1624,0.013254
16,120813,1716,0.0140048
