order,epoch,error_rate
1,1,0.206669
1,2,0.206669
1,3,0.206669
1,4,0.206669
1,5,0.206669
1,6,0.206669
1,7,0.206669
1,8,0.206669
1,9,0.206669
1,10,0.206669
1,11,0.206669
1,12,0.206669
1,13,0.206669
1,14,0.206669
1,15,0.206669
1,16,0.206669
1,17,0.206669
1,18,0.206669
1,19,0.206669
1,20,0.206669
1,21,0.206669
1,22,0.206669
1,23,0.206669
1,24,0.206669
1,25,0.206669
1,26,0.206669
1,27,0.206669
1,28,0.206669
1,29,0.206669
1,30,0.206669
1,31,0.206669
1,32,0.206669
1,33,0.206669
1,34,0.206669
1,35,0.206669
1,36,0.206669
1,37,0.206669
1,38,0.206669
1,39,0.206669
1,40,0.206669
1,41,0.206669
1,42,0.206669
1,43,0.206669
1,44,0.206669
1,45,0.206669
1,46,0.206669
1,47,0.206669
1,48,0.206669
1,49,0.206669
1,50,0.206669
2,1,0.0756882
2,2,0.0733214
2,3,0.061259
2,4,0.177166
2,5,0.0743987
2,6,0.0672902
2,7,0.0752557
2,8,0.0657232
2,9,0.061463
2,10,0.0646786
2,11,0.0667924
2,12,0.0455892
2,13,0.0473765
2,14,0.0563295
2,15,0.0513103
2,16,0.0476459
2,17,0.0470256
2,18,0.051449
2,19,0.0507064
2,20,0.0787079
2,21,0.0501759
2,22,0.0805034
2,23,0.0691183
2,24,0.0797444
2,25,0.0512287
2,26,0.093888
2,27,0.094043
2,28,0.0869917
2,29,0.0931208
2,30,0.0930066
2,31,0.093129
2,32,0.0665883
2,33,0.0937819
2,34,0.0892279
2,35,0.0692489
2,36,0.0848615
2,37,0.0921904
2,38,0.0927291
2,39,0.0919048
2,40,0.0946715
2,41,0.0695101
2,42,0.0608917
2,43,0.0672412
2,44,0.0714933
2,45,0.0566315
2,46,0.0575537
2,47,0.0620425
2,48,0.0605816
2,49,0.112977
2,50,0.0841352
3,1,0.0134172
3,2,0.0126419
3,3,0.00997315
3,4,0.00359099
3,5,0.00774511
3,6,0.00618629
3,7,0.00578639
3,8,0.00235046
3,9,0.00947531
3,10,0.00379502
3,11,0.00466012
3,12,0.00262795
3,13,0.00230966
3,14,0.00318292
3,15,0.00242392
3,16,0.00261979
3,17,0.00227701
3,18,0.00374605
3,19,0.00195872
3,20,0.00218724
3,21,0.00244024
3,22,0.00247288
3,23,0.00337063
3,24,0.00210562
3,25,0.00217091
3,26,0.00215459
3,27,0.0021954
3,28,0.00176285
3,29,0.00266059
3,30,0.00207298
3,31,0.00177917
3,32,0.00190975
3,33,0.00177101
3,34,0.00204849
3,35,0.0019832
3,36,0.00347673
3,37,0.00254634
3,38,0.00197504
3,39,0.00181182
3,40,0.00186078
3,41,0.00190159
3,42,0.00269324
3,43,0.00339511
3,44,0.00177101
3,45,0.00343592
3,46,0.00173836
3,47,0.00268508
3,48,0.00213011
3,49,0.00319924
3,50,0.00314211
4,1,0.0171633
4,2,0.0205666
4,3,0.00798995
4,4,0.015376
4,5,0.0157759
4,6,0.00747578
4,7,0.0116217
4,8,0.0105852
4,9,0.0114259
4,10,0.006627
4,11,0.0147883
4,12,0.00491312
4,13,0.00495393
4,14,0.00581087
4,15,0.00634136
4,16,0.00696978
4,17,0.00366444
4,18,0.00359099
4,19,0.0035665
4,20,0.00373789
4,21,0.00407251
4,22,0.00308498
4,23,0.00336247
4,24,0.00313395
4,25,0.00466828
4,26,0.00275037
4,27,0.00703507
4,28,0.00741049
4,29,0.00728807
4,30,0.00457851
4,31,0.00633319
4,32,0.00535383
4,33,0.0025545
4,34,0.00243208
4,35,0.00386031
4,36,0.00640665
4,37,0.00297073
4,38,0.00580271
4,39,0.00847963
4,40,0.00635768
4,41,0.00609652
4,42,0.0037787
4,43,0.00386847
4,44,0.00440712
4,45,0.00239127
4,46,0.00457851
4,47,0.00240759
4,48,0.00532935
4,49,0.00458667
4,50,0.00404802
5,1,0.793331
5,2,0.793331
5,3,0.793331
5,4,0.793331
5,5,0.793331
5,6,0.793331
5,7,0.793331
5,8,0.793331
5,9,0.793331
5,10,0.793331
5,11,0.793331
5,12,0.793331
5,13,0.793331
5,14,0.793331
5,15,0.793331
5,16,0.793331
5,17,0.793331
5,18,0.793331
5,19,0.793331
5,20,0.793331
5,21,0.793331
5,22,0.793331
5,23,0.793331
5,24,0.793331
5,25,0.793331
5,26,0.793331
5,27,0.793331
5,28,0.793331
5,29,0.793331
5,30,0.793331
5,31,0.793331
5,32,0.793331
5,33,0.793331
5,34,0.793331
5,35,0.793331
5,36,0.793331
5,37,0.793331
5,38,0.793331
5,39,0.793331
5,40,0.793331
5,41,0.793331
5,42,0.793331
5,43,0.793331
5,44,0.793331
5,45,0.793331
5,46,0.793331
5,47,0.793331
5,48,0.793331
5,49,0.793331
5,50,0.793331
