ratio,TP,FN,FP,TN
2.7777777777777777,180,45,43,38
2.6666666666666665,176,40,44,37
2.5555555555555554,169,38,45,36
2.4444444444444446,160,38,39,42
2.3333333333333335,153,36,42,39
2.2222222222222223,145,35,38,43
2.111111111111111,142,29,37,44
2,131,31,30,51
1.8888888888888888,121,32,32,49
1.7777777777777777,115,29,31,50
1.6666666666666667,107,28,29,52
1.5555555555555556,99,27,24,57
1.4444444444444444,93,24,22,59
1.3333333333333333,89,19,24,57
1.2222222222222223,81,18,20,61
1.1111111111111112,69,21,19,62
1,66,15,18,63
