TESTING:data/haberman.txt
NN=1
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,182,43,48,33
2.6666666666666665,,173,43,47,34
2.5555555555555554,,165,42,46,35
2.4444444444444446,,154,44,43,38
2.3333333333333335,,148,41,43,38
2.2222222222222223,,134,46,40,41
2.111111111111111,,129,42,38,43
2,,125,37,39,42
1.8888888888888888,,116,37,37,44
1.7777777777777777,,101,43,33,48
1.6666666666666667,,97,38,38,43
1.5555555555555556,,89,37,36,45
1.4444444444444444,,80,37,31,50
1.3333333333333333,,74,34,34,47
1.2222222222222223,,69,30,32,49
1.1111111111111112,,58,32,29,52
1,,53,28,30,51
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,182,43,48,33
2.654320987654321,10,176,39,45,46
2.5308641975308643,20,165,40,46,55
2.4074074074074074,30,159,36,42,69
2.2839506172839505,40,146,39,40,81
2.1604938271604937,50,144,35,36,91
2.037037037037037,60,138,32,37,99
1.9135802469135803,70,139,26,33,108
1.7901234567901234,80,136,26,32,112
1.6666666666666667,90,129,29,30,118
NN=3
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,193,32,55,26
2.6666666666666665,,183,33,55,26
2.5555555555555554,,176,31,54,27
2.4444444444444446,,166,32,54,27
2.3333333333333335,,157,32,53,28
2.2222222222222223,,150,30,51,30
2.111111111111111,,136,35,53,28
2,,126,36,50,31
1.8888888888888888,,118,35,51,30
1.7777777777777777,,111,33,49,32
1.6666666666666667,,106,29,50,31
1.5555555555555556,,95,31,50,31
1.4444444444444444,,86,31,45,36
1.3333333333333333,,76,32,43,38
1.2222222222222223,,67,32,41,40
1.1111111111111112,,58,32,39,42
1,,52,29,36,45
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,193,32,55,26
2.654320987654321,10,184,31,49,42
2.5308641975308643,20,178,27,49,52
2.4074074074074074,30,179,16,43,68
2.2839506172839505,40,163,22,39,82
2.1604938271604937,50,160,18,43,85
2.037037037037037,60,156,18,41,91
1.9135802469135803,70,151,18,42,95
1.7901234567901234,80,146,20,41,99
1.6666666666666667,90,148,13,42,103
NN=5
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,197,28,60,21
2.6666666666666665,,190,26,60,21
2.5555555555555554,,180,27,55,26
2.4444444444444446,,170,28,54,27
2.3333333333333335,,160,29,53,28
2.2222222222222223,,153,27,52,29
2.111111111111111,,147,24,51,30
2,,133,29,52,29
1.8888888888888888,,123,30,49,32
1.7777777777777777,,114,30,44,37
1.6666666666666667,,106,29,45,36
1.5555555555555556,,99,27,44,37
1.4444444444444444,,88,29,44,37
1.3333333333333333,,81,27,43,38
1.2222222222222223,,67,32,42,39
1.1111111111111112,,61,29,39,42
1,,56,25,38,43
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,200,25,60,21
2.654320987654321,10,190,25,56,35
2.5308641975308643,20,181,24,53,48
2.4074074074074074,30,173,22,53,58
2.2839506172839505,40,166,19,49,72
2.1604938271604937,50,162,16,48,80
2.037037037037037,60,155,18,48,85
1.9135802469135803,70,151,19,46,90
1.7901234567901234,80,144,19,43,100
1.6666666666666667,90,135,21,43,107
NN=7
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,201,24,61,20
2.6666666666666665,,192,24,60,21
2.5555555555555554,,182,25,59,22
2.4444444444444446,,176,22,59,22
2.3333333333333335,,167,22,60,21
2.2222222222222223,,159,21,57,24
2.111111111111111,,149,22,57,24
2,,140,22,57,24
1.8888888888888888,,129,24,56,25
1.7777777777777777,,121,23,53,28
1.6666666666666667,,109,26,51,30
1.5555555555555556,,99,27,50,31
1.4444444444444444,,91,26,49,32
1.3333333333333333,,81,27,47,34
1.2222222222222223,,71,28,43,38
1.1111111111111112,,62,28,37,44
1,,54,27,34,47
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,199,26,61,20
2.654320987654321,10,193,22,58,33
2.5308641975308643,20,185,20,57,44
2.4074074074074074,30,178,17,54,57
2.2839506172839505,40,172,13,52,69
2.1604938271604937,50,161,19,51,75
2.037037037037037,60,158,16,50,82
1.9135802469135803,70,152,18,50,86
1.7901234567901234,80,147,16,46,97
1.6666666666666667,90,143,16,46,101
TESTING:data/transfusion.txt
NN=1
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,68,110,97,473
3.101123595505618,,64,114,79,473
3,,70,108,72,462
2.898876404494382,,82,96,98,418
2.797752808988764,,76,102,78,420
2.696629213483146,,95,83,122,358
2.595505617977528,,91,87,100,362
2.49438202247191,,77,101,79,365
2.393258426966292,,84,94,90,336
2.292134831460674,,92,86,97,311
2.191011235955056,,82,96,87,303
2.0898876404494384,,84,94,92,280
1.9887640449438202,,81,97,71,283
1.8876404494382022,,92,86,90,246
1.7865168539325842,,92,86,88,230
1.6853932584269662,,91,87,74,226
1.5842696629213484,,83,95,75,207
1.4831460674157304,,101,77,79,185
1.3820224719101124,,97,81,77,169
1.2808988764044944,,95,83,63,165
1.1797752808988764,,98,80,72,138
1.0786516853932584,,100,78,56,136
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,82,96,123,447
3.6292134831460676,10,84,94,131,440
3.9719101123595504,20,79,99,122,452
3.9157303370786516,30,94,84,154,423
3.9101123595505616,40,89,89,154,426
3.853932584269663,50,83,95,123,458
3.797752808988764,60,86,92,127,456
3.741573033707865,70,86,92,110,473
3.6853932584269664,80,80,98,115,470
3.696629213483146,90,89,89,144,445
3.640449438202247,100,82,96,119,471
3.5842696629213484,110,84,94,106,484
3.5280898876404496,120,83,95,101,489
3.4719101123595504,130,86,92,112,478
3.4157303370786516,140,95,83,126,464
3.359550561797753,150,91,87,111,479
3.303370786516854,160,89,89,111,479
3.247191011235955,170,87,91,111,479
3.191011235955056,180,95,83,122,468
3.134831460674157,190,81,97,91,499
3.0786516853932584,200,93,85,128,468
3.0224719101123596,210,93,85,128,474
NN=3
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,76,102,90,480
3.101123595505618,,84,94,117,435
3,,70,108,62,472
2.898876404494382,,64,114,56,460
2.797752808988764,,71,107,61,437
2.696629213483146,,77,101,105,375
2.595505617977528,,81,97,86,376
2.49438202247191,,66,112,62,382
2.393258426966292,,81,97,84,342
2.292134831460674,,75,103,61,347
2.191011235955056,,86,92,81,309
2.0898876404494384,,85,93,78,294
1.9887640449438202,,93,85,76,278
1.8876404494382022,,87,91,60,276
1.7865168539325842,,99,79,76,242
1.6853932584269662,,92,86,63,237
1.5842696629213484,,99,79,62,220
1.4831460674157304,,108,70,78,186
1.3820224719101124,,97,81,60,186
1.2808988764044944,,111,67,65,163
1.1797752808988764,,120,58,80,130
1.0786516853932584,,119,59,66,126
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,68,110,66,504
4.117977528089888,10,69,109,83,490
4.061797752808989,20,63,115,53,522
4.00561797752809,30,67,111,63,516
3.949438202247191,40,71,107,61,519
3.893258426966292,50,72,106,63,520
3.837078651685393,60,68,110,60,525
3.7808988764044944,70,65,113,54,533
3.7247191011235956,80,72,106,59,528
3.668539325842697,90,70,108,58,530
3.6123595505617976,100,73,105,67,525
3.556179775280899,110,73,105,65,528
3.5,120,81,97,88,505
3.443820224719101,130,71,107,61,532
3.3876404494382024,140,67,111,59,534
3.331460674157303,150,70,108,54,539
3.2752808988764044,160,72,106,52,541
3.2191011235955056,170,78,100,76,517
3.162921348314607,180,77,101,54,539
3.106741573033708,190,83,95,72,526
3.050561797752809,200,83,95,72,534
2.99438202247191,210,83,95,72,538
NN=5
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,55,123,45,525
3.101123595505618,,56,122,48,504
3,,60,118,48,486
2.898876404494382,,67,111,51,465
2.797752808988764,,69,109,48,450
2.696629213483146,,71,107,68,412
2.595505617977528,,69,109,45,417
2.49438202247191,,68,110,53,391
2.393258426966292,,70,108,49,377
2.292134831460674,,75,103,53,355
2.191011235955056,,73,105,56,334
2.0898876404494384,,88,90,79,293
1.9887640449438202,,84,94,73,281
1.8876404494382022,,84,94,72,264
1.7865168539325842,,96,82,86,232
1.6853932584269662,,90,88,75,225
1.5842696629213484,,96,82,63,219
1.4831460674157304,,101,77,66,198
1.3820224719101124,,103,75,69,177
1.2808988764044944,,122,56,87,141
1.1797752808988764,,109,69,70,140
1.0786516853932584,,126,52,82,110
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,54,124,41,529
3.808988764044944,10,57,121,44,531
3.8707865168539324,20,68,110,79,498
3.8146067415730336,30,58,120,45,535
3.758426966292135,40,57,121,44,538
3.797752808988764,50,56,122,43,541
3.741573033707865,60,59,119,49,537
3.6853932584269664,70,62,116,50,539
3.696629213483146,80,60,118,49,542
3.640449438202247,90,58,120,52,541
3.5842696629213484,100,61,117,52,543
3.5280898876404496,110,65,113,59,536
3.4719101123595504,120,69,109,58,537
3.4157303370786516,130,65,113,52,543
3.359550561797753,140,68,110,55,540
3.303370786516854,150,65,113,68,527
3.247191011235955,160,70,108,69,526
3.191011235955056,170,70,108,70,525
3.134831460674157,180,72,106,69,527
3.0786516853932584,190,72,106,69,535
3.0224719101123596,200,72,106,69,543
2.966292134831461,210,72,106,69,551
NN=7
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,55,123,67,503
3.101123595505618,,53,125,46,506
3,,56,122,49,485
2.898876404494382,,59,119,40,476
2.797752808988764,,62,116,49,449
2.696629213483146,,66,112,56,424
2.595505617977528,,63,115,49,413
2.49438202247191,,65,113,51,393
2.393258426966292,,68,110,56,370
2.292134831460674,,74,104,74,334
2.191011235955056,,78,100,77,313
2.0898876404494384,,74,104,58,314
1.9887640449438202,,72,106,57,297
1.8876404494382022,,74,104,59,277
1.7865168539325842,,84,94,64,254
1.6853932584269662,,104,74,98,202
1.5842696629213484,,106,72,98,184
1.4831460674157304,,98,80,65,199
1.3820224719101124,,105,73,81,165
1.2808988764044944,,101,77,65,163
1.1797752808988764,,98,80,61,149
1.0786516853932584,,100,78,60,132
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,50,128,44,526
4.073033707865169,10,48,130,42,533
4.01685393258427,20,51,127,45,533
3.960674157303371,30,51,127,44,539
3.904494382022472,40,49,129,41,543
3.848314606741573,50,50,128,43,541
3.792134831460674,60,52,126,47,538
3.735955056179775,70,51,127,47,539
3.7247191011235956,80,52,126,48,543
3.668539325842697,90,52,126,47,548
3.6123595505617976,100,56,122,54,541
3.556179775280899,110,53,125,51,544
3.5,120,51,127,47,548
3.443820224719101,130,59,119,56,539
3.3876404494382024,140,53,125,51,544
3.331460674157303,150,57,121,50,545
3.2752808988764044,160,58,120,46,549
3.2191011235955056,170,55,123,46,549
3.162921348314607,180,58,120,44,551
3.106741573033708,190,58,120,44,558
3.050561797752809,200,58,120,44,565
2.99438202247191,210,58,120,44,574
