TESTING:data/haberman.txt
NN=1
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,176,49,45,36
2.6666666666666665,,174,42,48,33
2.5555555555555554,,164,43,48,33
2.4444444444444446,,158,40,43,38
2.3333333333333335,,147,42,45,36
2.2222222222222223,,140,40,42,39
2.111111111111111,,131,40,45,36
2,,125,37,40,41
1.8888888888888888,,119,34,40,41
1.7777777777777777,,108,36,42,39
1.6666666666666667,,101,34,38,43
1.5555555555555556,,89,37,37,44
1.4444444444444444,,82,35,33,48
1.3333333333333333,,77,31,35,46
1.2222222222222223,,68,31,33,48
1.1111111111111112,,61,29,33,48
1,,57,24,27,54
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,180,45,47,34
2.654320987654321,10,176,39,44,37
2.5308641975308643,20,160,45,45,36
2.4074074074074074,30,153,42,41,40
2.2839506172839505,40,149,36,35,46
2.1604938271604937,50,147,31,34,47
2.037037037037037,60,142,31,30,51
1.9135802469135803,70,137,33,33,48
1.7901234567901234,80,135,30,35,46
1.6666666666666667,90,131,28,32,49
NN=3
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,194,31,54,27
2.6666666666666665,,184,32,55,26
2.5555555555555554,,180,27,55,26
2.4444444444444446,,166,32,52,29
2.3333333333333335,,158,31,50,31
2.2222222222222223,,147,33,47,34
2.111111111111111,,144,27,49,32
2,,132,30,48,33
1.8888888888888888,,125,28,47,34
1.7777777777777777,,114,30,45,36
1.6666666666666667,,106,29,47,34
1.5555555555555556,,100,26,42,39
1.4444444444444444,,89,28,42,39
1.3333333333333333,,85,23,39,42
1.2222222222222223,,76,23,40,41
1.1111111111111112,,67,23,37,44
1,,57,24,35,46
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,196,29,55,26
2.654320987654321,10,185,30,53,28
2.5308641975308643,20,178,27,51,30
2.4074074074074074,30,172,23,47,34
2.2839506172839505,40,167,18,44,37
2.1604938271604937,50,162,14,44,37
2.037037037037037,60,157,14,41,40
1.9135802469135803,70,152,12,42,39
1.7901234567901234,80,146,14,41,40
1.6666666666666667,90,142,15,37,44
NN=5
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,196,29,60,21
2.6666666666666665,,193,23,57,24
2.5555555555555554,,181,26,58,23
2.4444444444444446,,172,26,56,25
2.3333333333333335,,162,27,57,24
2.2222222222222223,,157,23,51,30
2.111111111111111,,149,22,51,30
2,,140,22,50,31
1.8888888888888888,,130,23,46,35
1.7777777777777777,,119,25,44,37
1.6666666666666667,,111,24,44,37
1.5555555555555556,,100,26,43,38
1.4444444444444444,,92,25,41,40
1.3333333333333333,,81,27,41,40
1.2222222222222223,,66,33,40,41
1.1111111111111112,,59,31,39,42
1,,45,36,39,42
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,196,29,58,23
2.654320987654321,10,192,23,52,29
2.5308641975308643,20,183,22,52,29
2.4074074074074074,30,178,17,49,32
2.2839506172839505,40,167,18,46,35
2.1604938271604937,50,162,15,46,35
2.037037037037037,60,156,15,46,35
1.9135802469135803,70,153,15,44,37
1.7901234567901234,80,149,16,45,36
1.6666666666666667,90,144,15,41,40
NN=7
(random)
ratio,,TP,FN,FP,TN
2.7777777777777777,,202,23,61,20
2.6666666666666665,,189,27,61,20
2.5555555555555554,,181,26,59,22
2.4444444444444446,,171,27,59,22
2.3333333333333335,,164,25,57,24
2.2222222222222223,,153,27,54,27
2.111111111111111,,137,34,55,26
2,,134,28,53,28
1.8888888888888888,,122,31,54,27
1.7777777777777777,,113,31,52,29
1.6666666666666667,,104,31,53,28
1.5555555555555556,,94,32,51,30
1.4444444444444444,,81,36,48,33
1.3333333333333333,,75,33,48,33
1.2222222222222223,,66,33,39,42
1.1111111111111112,,59,31,38,43
1,,52,29,35,46
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
2.7777777777777777,0,200,25,61,20
2.654320987654321,10,195,20,58,23
2.5308641975308643,20,183,22,55,26
2.4074074074074074,30,176,19,53,28
2.2839506172839505,40,170,15,49,32
2.1604938271604937,50,165,12,46,35
2.037037037037037,60,159,14,44,37
1.9135802469135803,70,150,16,43,38
1.7901234567901234,80,150,13,43,38
1.6666666666666667,90,146,13,42,39
TESTING:data/transfusion.txt
NN=1
(random)
ratio,,TP,FN,FP,TN
3.202247191011236,,80,98,120,450
3.101123595505618,,67,111,97,455
3,,73,105,85,449
2.898876404494382,,77,101,99,417
2.797752808988764,,73,105,70,428
2.696629213483146,,80,98,102,378
2.595505617977528,,85,93,97,365
2.49438202247191,,86,92,99,345
2.393258426966292,,84,94,98,328
2.292134831460674,,85,93,96,312
2.191011235955056,,84,94,99,291
2.0898876404494384,,83,95,92,280
1.9887640449438202,,85,93,80,274
1.8876404494382022,,93,85,89,247
1.7865168539325842,,109,69,109,209
1.6853932584269662,,96,82,78,222
1.5842696629213484,,106,72,87,195
1.4831460674157304,,114,64,108,156
1.3820224719101124,,106,72,79,167
1.2808988764044944,,106,72,68,160
1.1797752808988764,,104,74,61,149
1.0786516853932584,,111,67,66,126
(tomek_links)
ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,64,114,81,489
3.4719101123595504,10,67,111,86,477
3.702247191011236,20,81,97,135,421
3.646067415730337,30,81,97,115,434
3.5898876404494384,40,71,107,91,450
3.730337078651685,50,73,105,88,447
3.7134831460674156,60,79,99,118,412
3.7134831460674156,70,66,112,93,433
3.657303370786517,80,79,99,94,428
3.601123595505618,90,83,95,117,403
3.544943820224719,100,73,105,87,430
