ratio,links_removed,TP,FN,FP,TN
3.202247191011236,0,87,91,138,432
3.9213483146067416,10,85,93,127,445
3.99438202247191,20,87,91,135,442
3.938202247191011,30,89,89,133,446
3.932584269662921,40,85,93,133,450
3.8764044943820224,50,82,96,134,452
3.8202247191011236,60,90,88,160,431
3.764044943820225,70,80,98,125,466
3.707865168539326,80,81,97,112,483
3.651685393258427,90,87,91,144,451
3.595505617977528,100,77,101,107,491
3.539325842696629,110,86,92,128,470
3.4831460674157304,120,93,85,155,443
3.4269662921348316,130,90,88,134,464
3.3707865168539324,140,90,88,130,468
3.3146067415730336,150,79,99,113,485
3.258426966292135,160,93,85,119,479
3.202247191011236,170,91,87,119,479
3.146067415730337,180,91,87,119,487
3.0898876404494384,190,91,87,119,491
