ratio,TP,FN,FP,TN
3.202247191011236,86,92,121,449
3.101123595505618,84,94,121,431
3,77,101,109,425
2.898876404494382,80,98,92,424
2.797752808988764,68,110,66,432
2.696629213483146,63,115,58,422
2.595505617977528,69,109,70,392
2.49438202247191,70,108,73,371
2.393258426966292,81,97,91,335
2.292134831460674,79,99,95,313
2.191011235955056,82,96,80,310
2.0898876404494384,89,89,92,280
1.9887640449438202,78,100,71,283
1.8876404494382022,81,97,72,264
1.7865168539325842,89,89,91,227
1.6853932584269662,86,92,77,223
1.5842696629213484,96,82,104,178
1.4831460674157304,95,83,105,159
1.3820224719101124,103,75,93,153
1.2808988764044944,86,92,70,158
1.1797752808988764,107,71,91,119
1.0786516853932584,95,83,62,130
